,avg_log_income,log_income_per_capita,migrated_yn,income_satisfaction,income_sufficiency_6m,econ_condition,country
1416,2.612262790774845,3.0204248861443626,0,4,5,2,GT
1419,,1.3217558399823195,0,4,5,2,HND
1420,,1.3217558399823195,0,4,5,1,HND
1423,,1.3217558399823195,0,4,5,1,HND
1424,4.61512051684126,3.5361166994644386,0,2,5,3,SLV
1436,5.707110264748875,4.110873864173311,0,3,3,2,SLV
1451,6.2166061010848646,4.836281906951478,0,2,4,1,SLV
1472,,1.8718021769015913,0,3,1,1,SLV
1473,5.303304908059076,3.9318256327243257,0,1,1,2,SLV
1474,,1.1631508098056809,0,4,1,2,SLV
1475,4.61512051684126,3.044522437723423,0,3,5,2,SLV
1477,4.61512051684126,3.9318256327243257,0,3,5,1,SLV
1479,1.3138926862587772,2.4793356044592154,0,3,5,2,HND
1480,0.8587948305034604,3.520460802488973,0,3,5,2,HND
1481,0.7032142372736524,1.9671123567059163,0,3,3,1,HND
1483,1.4013571948894354,2.757475084429733,0,2,5,2,HND
1490,1.4817831613342765,2.6855773454774243,0,2,2,2,HND
1491,,0.6931471805599453,1,2,2,2,HND
1499,5.707110264748875,4.61512051684126,0,3,5,2,SLV
1500,4.61512051684126,3.9318256327243257,0,3,5,2,SLV
1502,2.054325251850937,4.418840607796598,0,2,2,1,HND
1505,,0.9444616086741848,0,2,2,2,HND
1508,2.657673356821385,4.393831680123644,0,3,2,2,HND
1510,2.2514986193228794,3.9560398908449206,1,2,5,2,HND
1511,0.8587948305034604,2.4793356044592154,0,2,5,2,HND
1515,2.054325251850937,3.3440389677045594,0,2,5,2,HND
1521,,0.9444616086741848,0,3,5,2,SLV
1529,5.017279836814924,3.4339872044851463,1,4,5,1,SLV
1531,5.303304908059076,3.713572066704308,0,3,99,1,SLV
1538,5.993961427306569,4.61512051684126,1,4,5,2,SLV
1545,2.4161242918558012,4.418840607796598,1,4,5,1,HND
1547,2.5574405444457913,4.287028906051602,0,4,5,1,HND
1548,2.196318289003207,4.578312731818208,1,4,5,1,HND
1549,2.2514986193228794,4.238925790985132,1,4,5,1,HND
1550,2.7913820781379837,4.314817884980432,1,2,5,2,HND
1551,3.0636112715808355,4.820281565605037,1,2,2,2,HND
1555,,1.8718021769015913,1,1,1,2,SLV
1556,1.938939553663439,3.888413139720753,0,4,5,1,HND
1561,,0.7985076961177716,0,2,5,1,HND
1562,1.8084820311918708,3.457892725338701,0,2,5,1,HND
1564,,1.5404450410185773,0,2,2,1,HND
1571,5.017279836814924,3.6506582412937387,0,3,5,2,SLV
1572,4.61512051684126,3.044522437723423,0,4,5,1,SLV
1582,5.8888779583328805,4.290459441148391,0,2,5,1,SLV
1593,,1.8718021769015913,0,3,5,1,GT
1611,4.948759890378168,3.8642323416617277,0,1,3,2,SLV
1613,4.795790545596741,3.2188758248682006,0,2,3,2,SLV
1614,,0.8649974374866045,0,2,3,2,SLV
1617,5.707110264748875,4.110873864173311,0,3,4,2,SLV
1622,,1.041453874710514,0,4,5,2,SLV
1628,5.860786223465865,4.483002552013883,0,2,1,2,SLV
1632,4.795790545596741,3.713572066704308,0,4,5,1,SLV
1636,6.2166061010848646,4.61512051684126,1,3,2,1,SLV
1638,5.707110264748875,4.110873864173311,1,3,3,2,SLV
1643,6.439350371100098,5.7477993600729755,0,2,5,1,SLV
1644,5.303304908059076,3.1451096745328977,1,2,5,1,SLV
1661,,1.5404450410185773,0,2,2,1,HND
1662,3.0636112715808355,4.599152113662528,1,2,2,2,HND
1665,,1.041453874710514,1,3,5,2,GT
1666,2.4077867360322855,2.6390573296152584,0,3,5,1,GT
1668,2.6812368479971833,4.198704577546343,1,4,2,2,HND
1672,,1.5404450410185773,0,4,5,1,HND
1674,3.268036015807378,4.590056548178043,0,2,2,2,GT
1675,3.9419590180702992,4.3694478524670215,1,4,5,2,GT
1677,4.22477674057295,5.160969175205609,1,2,3,2,GT
1679,4.0933329673992125,4.7427558489406545,1,4,3,1,GT
1688,3.6607261555641673,4.30575285731789,0,2,2,2,GT
1690,3.9419590180702992,4.590056548178043,0,2,2,1,GT
1692,3.874351625837535,4.806749559113981,0,2,3,2,GT
